ResponseId,Policy_politics,Policy_complexity,Emotion,Video_DO,Policy_DO,Importance,New_legislation,Vote_policy,Good_solution,Reasonable_cost,Politically_possible,Reduce_problem,Solve_problem,Morally_justifiable,Policy_pleased,Interested,Distressed,Afraid,Guilty,Angry,Disgusted,Happy,Sad,Anxious,Calm,Surprised,Upset,Gender,Age,Ethnicity,Ethnicity_other,Political_orientation,Political_affiliation,Political_affiliation_other,anger_component_pca,fear_component_pca,neutral_component_pca,Anger_component,Fear_component,Neutral_component,SEC_economic_conservatism,SEC_social_conservatism,SEC_conservatism,Extraversion,Agreeableness,Conscientiousness,Emotional_stability,Openness_to_experiences,NFC,Cognitive_reappraisal,Expressive_suppression,Homelessness_j_component,Policy_j_component,Negative_affect,anger_comp_spss,fear_comp_spss,neutral_comp_spss
R_1l4z04cn6Sf7SpD,Liberal,Simple,Fear,V6,S1,5,5,2,2,3,6,4,2,6,3,3,1,1,1,1,1,2,1,2,2,1,1,Male,31,Caucasian or White,,Moderate,No party,,1.06990532,-1.298914402,-0.105797383,1,1.25,2.333333333,60,54.28571429,56.66666667,2.5,4,4,5.5,2.5,1.777777778,5.166666667,3.75,5,3.5,Negative,-0.68964,-0.32456,-0.83514
R_27jPQeQADAmjqyE,Conservative,Simple,Anger,V3,S5,7,7,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,3,1,3,1,1,Male,66,Caucasian or White,,Moderately liberal,Democratic Party,,0.321337109,-1.033986291,0.811321318,1.4,1.25,2.333333333,32,47.14285714,40.83333333,4.5,6.5,4,7,7,4.888888889,6,3.25,7,1.125,Negative,0.0927,-0.82021,-0.76065
R_1zAj1R6Ndoje63f,Liberal,Simple,Fear,V6,S1,5,5,4,3,3,3,3,3,4,4,2,3,3,1,3,1,2,1,3,2,3,1,Male,35,Asian American or Asian,,Moderate,Democratic Party,,-1.852162158,-1.092264664,-2.20188469,1.4,3,2,50,47.14285714,48.33333333,3,4.5,5,5,5,3.111111111,4.666666667,4.25,5,3.375,Negative,-0.79793,1.96473,-1.00691
R_AFibruwMFe6WuVb,Conservative,Simple,Fear,V6,S6,6,6,2,2,4,2,2,1,2,1,3,4,3,1,3,3,1,4,5,1,3,4,Male,68,Caucasian or White,,Moderate,Democratic Party,,-5.934615661,-0.06007375,-1.219030542,3,3.75,1.666666667,34,58.57142857,48.33333333,5.5,4,2.5,3.5,6,3.388888889,5.333333333,3,6,2,Negative,1.26815,2.27387,-0.79744
R_3sziMOYEHJ5NGt4,Conservative,Complex,Fear,V6,S8,7,5,6,5,5,3,6,1,5,5,4,3,1,1,1,1,3,2,3,3,2,2,Male,43,Caucasian or White,,Moderately liberal,Democratic Party,,-0.405219037,0.600801968,-1.149712135,1.4,2.25,3.333333333,74,97.14285714,87.5,1,6,5.5,1.5,4,1.888888889,3,6.5,6,4.5,Negative,-0.3391,1.04344,0.43234
R_5py7VDDTrO6Vx9n,Conservative,Simple,Anger,V4,S5,6,6,2,1,3,6,1,1,5,4,1,1,1,1,1,1,1,1,1,3,1,1,Female,44,Asian American or Asian,,Moderately liberal,No party,,1.23161572,-2.622410359,0.377585089,1,1,1.666666667,52,70,62.5,3.5,1,7,6.5,7,4.388888889,6.333333333,4.25,6,2.875,Negative,-0.7815,-0.8944,-1.82603
R_1I4OnGIfz56R9SX,Liberal,Complex,Neutral,V1,S4,7,6,4,4,4,5,4,4,5,5,4,3,3,1,2,1,3,3,3,3,1,2,Female,40,Caucasian or White,,Moderately liberal,Democratic Party,,-1.703592416,0.944929471,-0.771454542,1.8,2.5,3.333333333,46,44.28571429,45,1,4,7,5,3.5,3.222222222,3.333333333,5,6.5,4.375,Positive,0.35597,1.09367,0.50905
R_1JUwWdEPdi7o1aa,Liberal,Complex,Anger,V3,S4,7,7,7,7,6,7,6,6,7,7,5,1,1,1,1,1,3,1,1,5,1,1,Female,45,African American or Black,,Moderate,No party,,2.281166895,1.228505127,0.539814053,1,1,4.333333333,38,74.28571429,59.16666667,7,7,7,7,6.5,3.055555556,7,2,7,6.625,Negative,-0.18303,-0.77851,1.21396
R_cTlmovdqxkw30Ih,Liberal,Simple,Fear,V5,S1,7,6,6,4,5,4,4,3,5,5,4,1,1,1,1,1,3,1,1,4,2,1,Female,28,Caucasian or White,,Moderately liberal,Democratic Party,,1.812086421,0.45756869,-0.223070025,1,1.25,3.666666667,58,41.42857143,48.33333333,6.5,6,5.5,5.5,6,4.055555556,4.333333333,1.5,6.5,4.5,Negative,-0.60233,-0.18592,0.59185
R_2w5MBNAQu4ydwPF,Conservative,Simple,Anger,V4,S7,6,3,4,4,5,2,4,3,5,4,3,4,2,1,2,4,1,1,3,1,3,2,Male,40,Caucasian or White,,Moderately conservative,Republican Party,,-3.123251807,-1.078264719,-1.172188712,2,3,1.666666667,88,62.85714286,73.33333333,4.5,4,7,5.5,5.5,2.888888889,3.833333333,5,4.5,3.875,Negative,0.15705,1.4711,-1.19423
R_3JIfyHuqn5jFBMI,Conservative,Simple,Anger,V4,S7,7,5,5,5,4,4,3,3,4,4,3,3,2,2,2,2,2,2,2,2,3,2,Male,33,Asian American or Asian,,Moderate,Democratic Party,,-2.218414974,-0.115607193,-0.729047252,2,2.5,2.333333333,54,65.71428571,60.83333333,3,4,2.5,3,3,3.055555556,3.833333333,5.25,6,4,Negative,0.30995,1.0468,-0.36058
R_SPKmr8ed2uzSkX7,Conservative,Simple,Fear,V5,S5,5,6,6,6,4,4,4,3,5,6,4,2,2,1,1,1,2,2,4,2,3,3,Female,36,Caucasian or White,,Moderately conservative,Republican Party,,-1.679706631,0.21518803,-1.845466603,1.6,2.75,2.666666667,80,81.42857143,80.83333333,2.5,6,6,4.5,3.5,1.777777778,5,4.75,5.5,4.75,Negative,-0.37707,1.81625,-0.00775
R_Abac9v8CRTPzsyZ,Liberal,Simple,Fear,V6,S3,2,3,4,2,3,3,5,4,3,4,2,2,1,2,2,1,1,1,2,2,1,1,Female,44,African American or Black,,Moderate,Green Party,,-0.266189382,-1.923193026,0.441639137,1.4,1.5,1.666666667,50,54.28571429,52.5,2.5,4.5,3.5,4,4.5,3.055555556,4,4,2.5,3.5,Negative,-0.1081,-0.51508,-1.4989
R_1FLgrxK2LhjE7bz,Liberal,Simple,Fear,V5,S2,7,5,5,5,5,4,4,1,5,5,4,2,2,2,3,2,1,2,2,2,1,1,Male,59,Caucasian or White,,Moderately conservative,Republican Party,,-1.527461046,-0.286631671,1.139471999,2,1.75,2.333333333,68,77.14285714,73.33333333,4,3.5,4.5,2.5,5.5,2,5.333333333,1.75,6,4.25,Negative,1.02899,-0.55627,-0.45126
R_ehcP8XpsoPL0af7,Liberal,Complex,Neutral,V1,S4,7,7,7,7,7,5,4,4,6,7,4,2,1,1,1,1,3,1,1,3,1,1,Female,31,Hispanic or Latinx,,Moderately liberal,Other:,Independent,1.452560174,0.043176202,-0.022795765,1,1.25,3.333333333,62,32.85714286,45,3.5,3.5,5,4,3.5,3.388888889,5,4,7,5.875,Positive,-0.47264,-0.30819,0.22582
R_yjxYYyhQgM1kSWd,Liberal,Complex,Anger,V3,S4,5,5,6,6,4,4,6,5,6,6,3,1,1,1,1,1,3,1,1,5,2,1,Male,30,Caucasian or White,,Extremely conservative,Republican Party,,1.932495693,0.182926888,-0.241987771,1,1.25,3.666666667,90,92.85714286,91.66666667,6,6,7,7,4.5,4.5,5.166666667,1.75,5,5.375,Negative,-0.71208,-0.23306,0.40114
R_QgLGQbDs18b8kXn,Liberal,Simple,Neutral,V2,S1,7,6,6,6,6,6,7,5,6,7,4,1,1,1,1,1,3,1,1,4,1,1,Female,35,Caucasian or White,,Moderate,No party,,2.003946264,0.319955158,0.318070632,1,1,3.666666667,54,48.57142857,50.83333333,2.5,7,6.5,7,4,2,6,2.5,6.5,6.125,Positive,-0.41093,-0.65925,0.49803
R_1etOIxHhLlvbxA5,Liberal,Complex,Anger,V4,S4,6,5,5,4,5,5,4,2,6,5,2,3,3,2,1,3,1,3,2,2,1,2,Female,25,Caucasian or White,,Moderate,No party,,-2.834393375,-1.177391401,0.298533966,2.2,2.25,1.666666667,60,31.42857143,43.33333333,1,3.5,3,4,3,3.444444444,4.166666667,4,5.5,4.5,Negative,0.81342,0.27182,-1.27264
R_3m3JTtBfX8RU9vI,Conservative,Simple,Fear,V5,S5,7,7,6,6,6,6,6,6,6,6,4,1,1,1,1,1,3,1,1,3,2,1,Male,46,Asian American or Asian,,Moderate,No party,,1.613271469,0.140614607,-0.324482863,1,1.25,3.333333333,42,60,52.5,3,6.5,6,6,6,3.611111111,5.166666667,4.75,7,6,Negative,-0.6614,-0.10271,0.32924
R_exsemnFBE52B1ap,Conservative,Complex,Anger,V4,S8,6,6,1,1,1,1,1,1,1,1,3,1,1,1,4,5,1,1,1,5,1,1,Male,28,Caucasian or White,,Moderately liberal,No party,,-0.524259779,-0.208861847,2.869246588,2.4,1,3,48,21.42857143,32.5,6.5,5.5,6,6.5,6,4.222222222,4,2,6,1,Negative,1.62925,-2.09379,-0.30888
R_3GdpkL5Jhjacd6F,Conservative,Simple,Neutral,V1,S7,5,4,5,5,4,3,4,5,5,6,4,1,1,1,1,1,4,1,1,4,2,1,Male,26,Caucasian or White,,Moderately liberal,Democratic Party,,1.981235698,0.882880579,-0.484029548,1,1.25,4,48,14.28571429,28.33333333,4.5,3,2.5,4.5,3,2.555555556,4.333333333,3.25,4.5,4.625,Positive,-0.69982,0.02735,0.94261
R_21uH0395oOTJTFc,Liberal,Simple,Fear,V5,S3,6,6,6,6,6,6,6,6,6,6,4,2,1,1,3,1,2,3,2,1,1,3,Male,31,Caucasian or White,,Moderately liberal,Democratic Party,,-1.540287107,-0.129189824,1.080208348,2.2,1.5,2.333333333,46,75.71428571,63.33333333,6.5,5.5,5.5,6,6,2.333333333,4.833333333,3.25,6,6,Negative,1.03692,-0.4886,-0.33249
R_25FvUwaYP0YEwff,Conservative,Simple,Fear,V6,S6,5,4,3,3,4,4,3,3,3,3,3,1,2,1,1,1,1,2,4,1,1,3,Male,32,Caucasian or White,,Moderate,No party,,-1.389785715,-1.434076017,-0.484515627,1.6,2,1.666666667,66,54.28571429,59.16666667,2.5,5.5,6,1.5,5,2.777777778,4,2.75,4.5,3.25,Negative,-0.12206,0.50773,-1.25245
R_3CC4QN0IWL5zYQ8,Liberal,Simple,Fear,V6,S1,7,6,7,7,5,2,4,4,7,7,2,1,1,1,3,1,2,1,5,1,2,1,Female,42,Hispanic or Latinx,,Moderate,Democratic Party,,-0.931683297,-1.750992742,-1.301194568,1.4,2.25,1.666666667,44,34.28571429,38.33333333,1.5,7,7,4.5,5.5,2.333333333,4.666666667,7,6.5,5.375,Negative,-0.76916,0.98653,-1.40754
R_1pA0cGlnrkxwYMO,Liberal,Complex,Neutral,V2,S4,5,4,6,5,4,4,6,4,6,5,3,1,1,1,1,1,2,1,1,3,2,1,Female,48,Caucasian or White,,Moderately liberal,Democratic Party,,1.365716513,-0.876293168,-0.183853924,1,1.25,2.666666667,46,62.85714286,55.83333333,2.5,6,5.5,4,3,2.277777778,5.5,3.75,4.5,5,Positive,-0.73274,-0.27992,-0.47483
R_323br0h7XtxPZjB,Liberal,Simple,Neutral,V1,S1,7,7,7,7,7,7,7,7,7,7,5,2,2,2,2,2,1,2,2,1,2,2,Female,46,Caucasian or White,,Moderately liberal,Democratic Party,,-1.885136862,0.147529947,0.451754817,2,2,2.333333333,48,70,60.83333333,6,6,6,6,6,3.111111111,7,6.75,7,7,Positive,0.88004,0.10344,-0.15152
R_CktAN36xvCkzxpD,Liberal,Simple,Anger,V3,S1,7,7,6,5,4,5,5,4,5,5,4,3,2,1,1,1,1,1,2,2,1,2,Male,33,Caucasian or White,,Moderately conservative,Green Party,,-0.50435913,-0.825012904,-0.395357173,1.2,2,2.333333333,36,20,26.66666667,2.5,4,6.5,4.5,6,3.055555556,4.5,4,7,4.875,Negative,-0.22698,0.31374,-0.67806
R_3NRnrqC28bjKizB,Liberal,Complex,Neutral,V2,S4,7,7,5,5,6,4,4,4,5,5,5,1,1,1,1,1,5,1,1,5,1,1,Female,35,Caucasian or White,,Extremely liberal,Democratic Party,,2.619465449,2.079128905,0.017895009,1,1,5,30,21.42857143,25,6.5,3,2,2.5,5.5,3.5,7,3.5,7,4.75,Positive,-0.37801,-0.35199,1.91547
R_1gwGikvUgbjybWl,Conservative,Simple,Anger,V4,S6,6,6,6,6,6,5,6,6,6,6,5,2,1,1,1,1,4,1,2,4,3,1,Female,54,Caucasian or White,,Moderate,Republican Party,,1.226354312,1.684211503,-1.505964461,1,2,4.333333333,42,75.71428571,61.66666667,4,5.5,7,6.5,6,3.611111111,5,4.25,6,5.875,Negative,-0.81424,1.07797,1.47624
R_1d1fw1IM7Y0W9RM,Conservative,Complex,Anger,V4,S8,7,5,4,4,4,5,4,4,5,4,3,1,1,2,1,1,1,1,1,3,1,1,Female,35,African American or Black,,Moderately conservative,No party,,0.985428416,-1.198274042,0.938257031,1.2,1,2.333333333,86,87.14285714,86.66666667,3.5,4.5,4,1.5,5,2.777777778,4,4.5,6,4.25,Negative,-0.09207,-1.0887,-0.80017
R_3CPgqYQ8zlmF5Yo,Conservative,Complex,Anger,V4,S8,5,6,5,4,5,4,5,4,4,5,3,4,2,3,2,2,1,3,3,1,3,3,Male,44,Caucasian or White,,Moderate,No party,,-4.366441149,-0.228862765,-0.473594225,2.6,3,1.666666667,46,41.42857143,43.33333333,4.5,3.5,6,4,3.5,3.111111111,4.166666667,4.75,5.5,4.5,Negative,1.1143,1.32737,-0.73811
R_vpe4prHhrml943f,Conservative,Simple,Fear,V5,S7,6,6,6,6,6,6,5,6,6,6,4,1,1,1,1,1,4,1,1,4,1,1,Female,37,Hispanic or Latinx,,Moderate,No party,,2.173095541,0.745267047,0.05711111,1,1,4,50,67.14285714,60,3.5,6,5.5,6,5.5,3.666666667,5,3,6,5.875,Negative,-0.50842,-0.44599,0.84879
R_3gZQm51aFkMnFQt,Liberal,Simple,Fear,V5,S1,3,5,5,7,4,3,6,3,5,5,4,3,2,2,3,2,3,4,3,2,4,4,Male,28,Hispanic or Latinx,,Moderate,Republican Party,,-4.255818015,1.814258665,-0.692196949,3,3,3,38,42.85714286,40.83333333,4,2.5,4,5.5,5.5,2.944444444,5,4.5,4,4.75,Negative,1.41639,1.72277,0.82429
R_21GkZeKNsezFnUe,Conservative,Simple,Fear,V6,S7,7,6,5,6,4,5,6,5,5,6,5,1,1,1,1,1,4,1,1,5,1,1,Female,61,Caucasian or White,,Extremely conservative,Republican Party,,2.450316172,1.653817016,0.278854531,1,1,4.666666667,70,100,87.5,3,7,6.5,7,6,4.111111111,5,2.25,6.5,5.25,Negative,-0.28052,-0.56525,1.56471
R_29ad29zQRq9BsbE,Liberal,Simple,Fear,V5,S3,6,7,7,7,7,7,7,6,7,7,1,2,1,1,2,3,1,1,2,3,1,2,Female,23,African American or Black,,Extremely liberal,Democratic Party,,-0.776861556,-2.174403541,0.798178491,1.8,1.5,1.666666667,46,22.85714286,32.5,1.5,2.5,5,4,2.5,2.333333333,3.666666667,4.5,6.5,6.875,Negative,0.18868,-0.70175,-1.76631
R_2xFWubS5TBbTg6J,Conservative,Simple,Fear,V6,S5,6,5,4,4,3,4,2,1,4,4,1,5,5,2,1,2,3,2,5,1,3,2,Female,31,Caucasian or White,,Moderately liberal,Libertarian Party,,-4.843638379,-0.844206783,-4.280348715,1.8,4.5,1.666666667,72,37.14285714,51.66666667,1,5.5,3,2,6,3.777777778,3.666666667,2.5,5.5,3.25,Negative,-0.86534,4.26154,-1.15714
R_XoGP19rbZHOAATv,Liberal,Simple,Neutral,V1,S1,7,7,7,7,7,7,7,7,7,7,4,1,1,2,3,3,2,4,4,2,5,3,Male,52,Caucasian or White,,Moderately liberal,Democratic Party,,-3.750014096,1.316369223,-0.395843579,3,2.75,2.666666667,34,52.85714286,45,1.5,5.5,4.5,4,5,3.333333333,5.166666667,5.25,7,7,Positive,1.29787,1.31973,0.50726
R_tDSymSQ8cAm6MZH,Liberal,Simple,Neutral,V2,S2,7,5,1,1,1,4,1,1,1,1,4,1,1,1,1,1,3,1,1,5,1,1,Female,30,Caucasian or White,,Moderate,Libertarian Party,,2.202761215,0.636909242,0.41948347,1,1,4,92,84.28571429,87.5,2.5,4,6.5,6,7,4.666666667,5.166666667,4,6,1.375,Positive,-0.35186,-0.74246,0.76064
R_3fsmjzCX0wrcyt3,Conservative,Simple,Neutral,V1,S5,6,6,5,5,3,5,5,2,6,5,4,1,1,1,2,2,4,1,1,4,1,1,Female,53,Caucasian or White,,Moderate,Republican Party,,1.512273864,0.92225656,0.650717366,1.4,1,4,74,71.42857143,72.5,5.5,6.5,7,7,5.5,4.277777778,5,3,6,4.5,Positive,0.05624,-0.72595,0.87779
R_1hYEPUbYpyuOTiH,Liberal,Complex,Neutral,V1,S4,6,5,5,5,3,3,3,3,5,4,4,1,1,1,1,1,3,1,1,5,3,1,Female,49,Caucasian or White,,Moderate,Republican Party,,1.819041529,0.912136305,-0.662797845,1,1.5,4,86,74.28571429,79.16666667,3,7,6.5,7,5,3.611111111,5,4.75,5.5,3.875,Positive,-0.73465,0.20421,0.94827
R_1eCUdR9a9OJULK5,Conservative,Simple,Fear,V5,S6,7,6,4,4,4,4,4,3,3,4,4,5,5,5,5,5,1,5,5,2,1,5,Female,24,Asian American or Asian,,Moderately liberal,Democratic Party,,-10.09552441,2.434828813,1.98441891,5,4,2.333333333,36,41.42857143,39.16666667,1,7,6,4,6.5,4.833333333,5,7,6.5,3.75,Negative,4.84905,1.08992,0.44193
R_3fxvSwG9Rq3CoKi,Liberal,Complex,Anger,V3,S4,1,1,1,1,1,2,1,1,7,1,1,1,1,1,1,1,1,1,1,5,1,1,Female,26,African American or Black,,Moderate,Democratic Party,,1.629245623,-1.988502192,0.580410764,1,1,2.333333333,60,42.85714286,50,1,1,7,4.5,5.5,4.5,1,7,1,1.875,Negative,-0.66335,-1.06081,-1.30082
R_10YrXH2Z3hGE62z,Liberal,Complex,Anger,V4,S4,6,5,5,5,6,4,6,5,7,7,4,1,1,1,1,1,4,1,2,5,3,1,Male,35,Caucasian or White,,Moderately liberal,Democratic Party,,1.699334723,1.369394574,-1.285428647,1,1.75,4.333333333,44,64.28571429,55.83333333,4,6.5,5.5,4.5,6,3.722222222,5.666666667,5,5.5,5.625,Negative,-0.92136,0.76296,1.29514
R_3iNYMZHUvO2P53L,Liberal,Complex,Neutral,V2,S4,7,6,6,6,5,5,6,6,7,6,4,1,1,2,1,1,4,1,1,4,4,1,Male,28,Caucasian or White,,Moderately conservative,Republican Party,,1.194517349,1.399052188,-1.246300088,1.2,1.75,4,74,84.28571429,80,4.5,7,7,5.5,4,2.277777778,4.833333333,5,6.5,5.875,Positive,-0.73083,0.85183,1.24947
R_2YJxnJ1ozFJFuBk,Conservative,Simple,Fear,V6,S7,6,7,4,4,5,5,4,4,5,4,3,2,2,2,2,1,2,2,3,2,2,2,Female,41,Caucasian or White,,Extremely liberal,Democratic Party,,-1.634988345,-0.326929506,-0.577480204,1.8,2.25,2.333333333,58,8.571428571,29.16666667,3,5,5,3,5,3.055555556,5.833333333,5.25,6.5,4.375,Negative,0.1538,0.77208,-0.44698
R_1f71zisgVl3XiaE,Liberal,Simple,Fear,V5,S2,6,7,5,6,6,6,7,5,7,7,5,1,1,3,1,1,1,4,1,4,1,1,Male,29,Caucasian or White,,Moderately liberal,Democratic Party,,-0.133722183,1.090402114,2.249134742,2,1,3.333333333,48,34.28571429,40,1,1.5,3.5,2,4.5,4.333333333,4.166666667,5.5,6.5,6.125,Negative,1.46521,-1.54854,0.74085
R_20SxvuA4zdfCas4,Liberal,Simple,Neutral,V2,S1,7,6,6,6,6,5,6,3,7,7,4,1,1,1,1,1,2,1,1,3,1,1,Female,51,Caucasian or White,,Moderate,Republican Party,,1.635982035,-0.422310814,0.477617317,1,1,3,58,78.57142857,70,3,6.5,1.5,3,3,1.444444444,2,1,6.5,5.75,Positive,-0.37252,-0.78931,-0.11533
R_sUtIjLH82x146Fb,Liberal,Simple,Neutral,V2,S3,6,7,7,6,6,6,5,5,7,6,5,1,1,1,2,2,4,2,1,3,1,2,Male,34,Caucasian or White,,Extremely liberal,Democratic Party,,0.656228529,1.51284271,1.046655518,1.8,1,4,78,81.42857143,80,4,7,7,7,4,4.777777778,6.5,2.5,6.5,6,Positive,0.672,-0.75934,1.19859
R_2fJpsgHdZEBuKXK,Liberal,Simple,Fear,V6,S2,7,7,7,7,7,5,7,2,7,7,4,1,1,1,1,1,3,1,1,4,1,1,Male,39,Caucasian or White,,Extremely liberal,Democratic Party,,2.003946264,0.319955158,0.318070632,1,1,3.666666667,38,28.57142857,32.5,6,5.5,5.5,7,6.5,4.444444444,4,4.25,7,6.125,Negative,-0.41093,-0.65925,0.49803
R_1lmBEZpVqFA0bZk,Conservative,Simple,Neutral,V1,S7,6,5,2,2,2,2,4,4,4,2,4,1,1,1,1,1,5,1,1,5,1,1,Female,63,Caucasian or White,,Moderately conservative,Republican Party,,2.541059769,1.487533019,-0.102435575,1,1,4.666666667,72,95.71428571,85.83333333,4.5,7,7,7,5.5,4.111111111,7,2.75,5.5,2.75,Positive,-0.54684,-0.31593,1.46216
R_aaYh2plLvQDXjEd,Conservative,Complex,Anger,V3,S8,7,6,6,6,7,7,5,4,6,6,4,2,1,1,1,2,1,2,1,3,1,2,Male,35,Caucasian or White,,Moderately conservative,Other:,Independent but leans Republican,0.050773827,-0.426023193,1.143499575,1.6,1.25,2.666666667,86,100,94.16666667,3,7,7,7,5.5,2.5,5.666666667,2,6.5,5.875,Negative,0.4893,-0.93623,-0.34729
R_1DOsJXwEuzVKNFY,Liberal,Simple,Anger,V4,S3,6,6,6,6,6,2,6,6,6,6,4,3,1,2,2,2,1,2,2,1,3,2,Female,67,Caucasian or White,,Moderately liberal,Democratic Party,,-2.107971592,-0.360128766,-0.096471113,2,2.25,2,46,65.71428571,57.5,5.5,7,7,7,6,4,5.166666667,4,6,5.5,Negative,0.552,0.50903,-0.54845
R_2CkVK8VMK5hSYk5,Conservative,Complex,Anger,V4,S8,6,7,6,6,6,3,6,3,7,7,4,2,1,1,1,2,2,1,1,3,1,1,Male,62,Caucasian or White,,Moderate,No party,,0.955559166,-0.316655652,0.505519647,1.2,1.25,3,94,82.85714286,87.5,7,6,6,7,6.5,4.333333333,6,2.25,6.5,5.5,Negative,-0.11419,-0.64243,-0.12663
R_3rUN4EHmpxe1H6D,Liberal,Complex,Fear,V5,S4,7,7,7,7,7,7,7,6,7,7,5,1,1,2,1,1,3,1,3,3,1,1,Male,33,Caucasian or White,,Extremely liberal,Democratic Party,,0.902826162,0.899434268,-0.066343406,1.2,1.5,3.666666667,30,64.28571429,50,6.5,6.5,6.5,6,6.5,4.611111111,6.166666667,2,7,6.875,Negative,-0.12783,-0.04331,0.8002
R_pMNKdZ1Ixp39Fjr,Liberal,Simple,Anger,V4,S3,7,6,4,5,6,5,5,3,7,6,1,2,1,1,1,2,1,3,2,1,1,2,Female,31,Caucasian or White,,Extremely liberal,Democratic Party,,-1.228188614,-2.62024405,0.434275182,1.8,1.5,1,34,31.42857143,32.5,1,6.5,4,3.5,5.5,3.333333333,5.333333333,1.75,6.5,5.125,Negative,0.04504,-0.37694,-2.15216
R_1Fh6TX0z8zxttoD,Conservative,Simple,Neutral,V1,S7,6,3,3,3,4,4,3,3,3,3,3,3,2,3,1,2,1,3,2,2,3,2,Female,47,Caucasian or White,,Moderately conservative,Republican Party,,-2.814852383,-0.228955428,-0.25806301,2.2,2.5,2,82,88.57142857,85.83333333,3,6,5,5,5.5,3,4.5,4.5,4.5,3.25,Positive,0.7251,0.80956,-0.5386
R_3gU88QeszOa8f5e,Conservative,Simple,Anger,V3,S6,7,7,7,7,6,6,4,4,4,6,5,2,1,1,1,1,4,1,1,5,1,1,Male,44,Caucasian or White,,Moderately conservative,Republican Party,,2.097745034,1.693992142,0.039400971,1,1.25,4.666666667,60,92.85714286,79.16666667,3.5,6,5,6,4,2.777777778,5.666666667,5,7,5.5,Negative,-0.28315,-0.29739,1.5551
R_1N4f2MAqzPCcQlq,Liberal,Simple,Neutral,V2,S1,6,4,4,3,3,3,3,2,4,4,4,1,1,1,1,1,4,1,1,5,1,1,Female,47,Caucasian or White,,Moderately conservative,Republican Party,,2.371910492,1.062221131,0.158523948,1,1,4.333333333,78,85.71428571,82.5,4.5,6,6.5,6.5,6,3.833333333,4.833333333,3.25,5,3.25,Positive,-0.44935,-0.52919,1.1114
R_3JwwvK6qgDuuI3w,Liberal,Simple,Fear,V6,S2,6,6,6,6,6,6,6,6,7,6,4,1,1,1,1,1,3,1,1,4,1,1,Female,49,African American or Black,,Moderate,Democratic Party,,2.003946264,0.319955158,0.318070632,1,1,3.666666667,60,85.71428571,75,5.5,5.5,5.5,6,4.5,2.888888889,6,2.75,6,6.125,Negative,-0.41093,-0.65925,0.49803
R_2TKLlAH8JRUwocp,Liberal,Simple,Fear,V6,S1,6,7,7,7,7,7,6,4,7,7,3,2,3,2,1,3,1,1,2,1,1,1,Female,29,Hispanic or Latinx,,Moderately liberal,Democratic Party,,-1.50933603,-1.441397658,-0.036379446,1.6,2,1.666666667,48,88.57142857,71.66666667,4,7,5.5,4,6.5,2.111111111,6.666666667,2,6.5,6.5,Negative,0.15021,0.19243,-1.2866
R_z8Mn9FrIXTJSTmN,Conservative,Complex,Fear,V6,S8,5,3,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,1,1,5,1,1,Male,42,Caucasian or White,,Moderately liberal,No party,,2.619465449,2.079128905,0.017895009,1,1,5,72,81.42857143,77.5,5,6,7,7,5.5,4.611111111,7,4.75,4,5,Negative,-0.37801,-0.35199,1.91547
R_pnPS4mZ66r3ZPG1,Liberal,Simple,Neutral,V1,S3,7,7,7,7,7,7,7,7,7,7,5,1,1,1,1,1,5,1,1,4,1,1,Male,30,Asian American or Asian,,Moderately liberal,Democratic Party,,2.420650497,1.762174821,-0.083517829,1,1,4.666666667,48,34.28571429,40,6,7,7,7,7,4.666666667,6,1.25,7,7,Positive,-0.43709,-0.26878,1.65286
R_22V2BmBOmW5jXNq,Liberal,Simple,Fear,V6,S3,7,7,6,5,7,7,5,4,7,7,5,3,2,1,5,5,2,4,2,2,1,4,Female,44,Caucasian or White,,Moderately conservative,Other:,Independent,-4.728622421,1.714270202,2.808744035,3.8,2,3,72,65.71428571,68.33333333,5,5,6.5,3,3.5,3.166666667,6.666666667,1,7,6,Negative,3.38461,-0.85075,0.58637
R_2tDzlLSxGcbuKCr,Conservative,Simple,Anger,V4,S5,7,7,2,2,2,2,2,2,2,2,4,2,2,1,1,2,3,2,2,2,2,2,Female,31,Other:,mixed,Extremely liberal,Democratic Party,,-0.690460428,0.371057899,-0.735343115,1.6,2,3,6,22.85714286,15.83333333,2,7,5.5,3.5,7,3.777777778,5,3,7,2,Negative,-0.08019,0.76399,0.20937
R_1FG0tZQVVu7gnir,Conservative,Simple,Neutral,V1,S7,6,6,4,4,3,3,3,2,3,4,4,2,2,2,1,1,3,2,2,4,3,1,Male,24,Caucasian or White,,Extremely conservative,Republican Party,,-0.181460653,1.184628346,-1.181759307,1.4,2.25,3.666666667,98,52.85714286,71.66666667,4,3,5.5,4,5.5,3.722222222,5.666666667,4.5,6,3.25,Positive,-0.29902,1.08946,0.90341
R_2Bfh76PRbtdqk30,Liberal,Simple,Neutral,V1,S1,6,7,7,7,7,5,6,6,7,7,4,1,1,1,1,1,2,1,1,3,1,1,Male,43,Caucasian or White,,Extremely liberal,Democratic Party,,1.635982035,-0.422310814,0.477617317,1,1,3,26,17.14285714,20.83333333,6,4.5,7,7,7,4.444444444,5.333333333,5.5,6.5,6.5,Positive,-0.37252,-0.78931,-0.11533
